event_date,event_name,page_title,device_category,country,traffic_source,traffic_medium,user_pseudo_id,ga_session_id,ga_session_number,engagement_time_msec,page_location,clean_event,all_data,percent_scrolled,currency,value,transaction_id,ltv_propensity_score
2021-01-31,page_view,Home,mobile,United States,google,organic,1026454.4271,1612123456,1,,https://shop.googlemerchandisestore.com/,gtm.js,,,,,,
2021-01-31,scroll,Home,mobile,United States,google,organic,1026454.4271,1612123456,1,7800,https://shop.googlemerchandisestore.com/,gtm.js,,90,,,,
2021-01-31,session_start,Apparel | Google Merchandise Store,mobile,United States,google,organic,1029692.9551,1612123789,1,,,,,,,,,
2021-01-31,first_visit,Apparel | Google Merchandise Store,mobile,United States,google,organic,1029692.9551,1612123789,1,,,,,,,,,
2021-01-31,view_item,Google Unisex Eco Tee,mobile,United States,google,organic,1029692.9551,1612123789,1,12400,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Eco+Tee,gtm.js,,,,USD,25.99,,0.51
2021-01-31,view_promotion,Home,desktop,Canada,google,organic,1037360.4939,1612124001,2,3200,https://shop.googlemerchandisestore.com/,gtm.js,,,,,,
2021-01-31,add_to_cart,Google Unisex Eco Tee,desktop,Canada,google,organic,1037360.4939,1612124001,2,8100,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Eco+Tee,gtm.js,,,USD,25.99,,0.79
2021-01-31,begin_checkout,Shopping Cart,desktop,Canada,google,organic,1037360.4939,1612124001,2,4400,https://shop.googlemerchandisestore.com/basket.html,gtm.js,,,USD,51.98,,0.79
2021-01-31,add_shipping_info,Checkout,desktop,Canada,google,organic,1037360.4939,1612124001,2,6200,https://shop.googlemerchandisestore.com/payment.html,gtm.js,,,USD,51.98,,0.79
2021-01-31,add_payment_info,Checkout,desktop,Canada,google,organic,1037360.4939,1612124001,2,9100,https://shop.googlemerchandisestore.com/payment.html,gtm.js,,,USD,51.98,,0.79
2021-01-31,purchase,Order Confirmation,desktop,Canada,google,organic,1037360.4939,1612124001,2,2100,https://shop.googlemerchandisestore.com/order-confirm.html,gtm.js,,,USD,107.97,GMS-20210131-001,0.86
2020-11-01,page_view,Drinkware | Lifestyle | Google Merchandise Store,desktop,India,google,organic,1005694.5834,1604192000,1,,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,gtm.js,,,,,,
2020-11-01,first_visit,Drinkware | Lifestyle | Google Merchandise Store,desktop,India,google,organic,1005694.5834,1604192000,1,,,,,,,,,
2020-11-01,view_item,Google Stainless Steel Bottle,desktop,India,google,organic,1005694.5834,1604192000,1,15600,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware/Bottle,gtm.js,,,USD,22.00,,0.38
2020-11-01,session_start,Home,mobile,United States,(direct),(none),1013442.5000,1604192100,3,,,,,,,,,
2020-11-01,view_promotion,Home,mobile,United States,(direct),(none),1013442.5000,1604192100,3,4800,https://shop.googlemerchandisestore.com/,gtm.js,,,,,,
